match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
392239,1,15,1,42,50.782875
392239,1,15,2,41,47.436375
392239,1,15,3,40,44.15623
392239,1,15,4,39,42.447178
392239,1,15,5,35,42.539272
392239,1,15,6,34,40.56052
392239,1,16,1,34,36.13759
392239,1,16,2,33,34.018833
392239,1,16,3,33,34.730717
392239,1,16,4,29,32.05913
392239,1,16,5,28,28.308393
392239,1,16,6,28,25.614958
392239,1,17,1,28,27.16307
392239,1,17,2,26,26.219578
392239,1,17,3,25,22.012003
392239,1,17,4,24,19.939997
392239,1,17,5,23,20.013494
392239,1,17,6,22,19.321384
392239,1,17,7,20,18.333403
392239,1,18,1,18,17.77722
392239,1,18,2,17,14.919852
392239,1,18,3,17,15.18118
392239,1,18,4,11,13.225717
392239,1,18,5,10,10.779906
392239,1,18,6,10,8.871168
392239,1,19,1,9,9.013218
392239,1,19,2,9,7.261236
392239,1,19,3,7,5.8342576
392239,1,19,4,5,4.9239078
